Player,Survivor Pick,2 Point Spread,1 Point Spread (1),1 Point Spread (2),1 Point Spread (3),1 Point Spread (4),Survivor Point,2 Point Spread Points,1 Point Spread (1) Points,1 Point Spread (2) Points,1 Point Spread (3) Points,1 Point Spread (4) Points,Total Points,Special,Week
AhhTheHeff,ARI,DEN,NYJ,MIA,SEA,BAL,1,0.0,1.0,0.0,0.0,0.0,1.0,0,1
aif,DEN,SEA,KC,NYG,NO,GB,1,0.0,0.0,0.0,0.0,1.0,1.0,0,1
Andy Molitor,DEN,BAL,NO,CLE,TB,JAX,1,0.0,0.0,1.0,1.0,1.0,3.0,0,1
Andy Veit,DEN,KC,CHI,NO,CIN,ATL,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1
bdigital2,JAX,KC,GB,CIN,SEA,TEN,1,0.0,1.0,0.0,0.0,1.0,2.0,0,1
bhead,ARI,NE,BAL,PIT,KC,GB,1,0.0,0.0,0.0,0.0,1.0,1.0,0,1
BigBill,ARI,PHI,LV,TEN,BUF,MIN,1,0.0,1.0,1.0,1.0,1.0,4.0,0,1
bjv511,DEN,PIT,CLE,JAX,NO,BAL,1,0.0,1.0,1.0,0.0,0.0,2.0,0,1
blwood8,PIT,DEN,CIN,JAX,HOU,NO,1,0.0,0.0,1.0,0.0,0.0,1.0,0,1
brad_wellsandt,JAX,SF,KC,WAS,NO,HOU,1,2.0,0.0,1.0,0.0,0.0,3.0,0,1
cforrest,ARI,BAL,SEA,HOU,WAS,GB,1,0.0,0.0,0.0,1.0,1.0,2.0,0,1
Chief Wahoo,DEN,KC,PIT,MIA,JAX,LAR,1,0.0,0.0,0.0,1.0,0.0,1.0,0,1
csaul52,PIT,TB,ARI,WAS,LV,DEN,1,2.0,1.0,1.0,1.0,0.0,5.0,0,1
Dame,ARI,BAL,SEA,GB,MIN,NYG,1,0.0,0.0,1.0,1.0,0.0,2.0,0,1
donnybaseballl,DEN,BAL,SF,TB,IND,NE,1,0.0,1.0,1.0,1.0,0.0,3.0,0,1
edub1321,DEN,MIA,DAL,KC,BUF,CHI,1,0.0,1.0,0.0,1.0,0.0,2.0,0,1
GeauxPepper,PHI,BAL,SEA,NO,PIT,TEN,1,0.0,0.0,0.0,0.0,1.0,1.0,0,1
gfoster,WAS,DAL,KC,CIN,BUF,TB,1,2.0,0.0,0.0,1.0,1.0,4.0,0,1
Ha'Analytics,PHI,KC,NO,JAX,PIT,SEA,1,0.0,0.0,1.0,0.0,0.0,1.0,0,1
jeff_underscore,DEN,SF,BAL,PIT,LV,CIN,1,2.0,0.0,0.0,1.0,0.0,3.0,0,1
jmsieglaff,PHI,MIN,GB,CIN,CAR,PIT,1,2.0,1.0,0.0,0.0,0.0,3.0,0,1
jrhippy,ARI,JAX,NYG,TB,BAL,SEA,1,2.0,0.0,1.0,0.0,0.0,3.0,0,1
KB,DEN,JAX,NE,NO,HOU,BAL,1,2.0,0.0,0.0,0.0,0.0,2.0,0,1
Kdube328,DEN,NO,KC,PIT,WAS,NE,1,0.0,0.0,0.0,1.0,0.0,1.0,0,1
Kell,DEN,BAL,GB,TB,NE,PIT,1,0.0,1.0,1.0,0.0,0.0,2.0,0,1
kregs525,PHI,ATL,NO,SEA,NE,DEN,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1
laterza12,DEN,BAL,KC,CLE,TB,SEA,1,0.0,0.0,1.0,1.0,0.0,2.0,0,1
LebrarianBooker97497,DEN,HOU,BAL,LV,ARI,MIN,1,0.0,0.0,1.0,1.0,1.0,3.0,0,1
LimRon,DEN,BAL,TB,SEA,PIT,GB,1,0.0,1.0,0.0,0.0,1.0,2.0,0,1
magicp18,DEN,SF,HOU,BUF,WAS,ARI,1,2.0,0.0,1.0,1.0,1.0,5.0,0,1
markj7237,DEN,BAL,NE,TB,SEA,GB,1,0.0,0.0,1.0,0.0,1.0,2.0,0,1
mattporter328,DEN,CLE,LAR,GB,BAL,NO,1,2.0,0.0,1.0,0.0,0.0,3.0,0,1
mbw_87,DEN,SEA,KC,TB,GB,BAL,1,0.0,0.0,1.0,1.0,0.0,2.0,0,1
melvi$,DEN,KC,NO,TB,CLE,BAL,1,0.0,0.0,1.0,1.0,0.0,2.0,0,1
ModelGary,JAX,LV,SEA,WAS,BAL,TB,1,2.0,0.0,1.0,0.0,1.0,4.0,0,1
MrTuxedo,JAX,BAL,LV,DEN,SEA,HOU,1,0.0,1.0,0.0,0.0,0.0,1.0,0,1
nolanscougarpie,DEN,BAL,SEA,NYG,TB,HOU,1,0.0,0.0,0.0,1.0,0.0,1.0,0,1
PatrickfromSTL,DEN,KC,IND,PIT,BAL,CIN,1,0.0,1.0,0.0,0.0,0.0,1.0,0,1
Pinnacle,PHI,PIT,MIA,LV,NO,MIN,1,0.0,0.0,1.0,0.0,1.0,2.0,0,1
Puffinmusket,JAX,BAL,KC,PIT,NE,CIN,1,0.0,0.0,0.0,0.0,0.0,0.0,0,1
scanmanfilms,MIN,KC,MIA,LV,TB,LAR,1,0.0,0.0,1.0,1.0,0.0,2.0,0,1
Southpaw_hack,DEN,BAL,KC,SEA,LAR,TB,1,0.0,0.0,0.0,0.0,1.0,1.0,0,1
Spasmus,DEN,BAL,LV,CLE,TB,NO,1,0.0,1.0,1.0,1.0,0.0,3.0,0,1
stonecoldjake,DEN,BAL,NO,DET,NYG,JAX,1,0.0,0.0,0.0,0.0,1.0,1.0,0,1
teapars2,CIN,NO,NE,PIT,TB,WAS,1,0.0,0.0,0.0,1.0,1.0,2.0,0,1
thebutt3r,DEN,BAL,GB,HOU,KC,SEA,1,0.0,1.0,0.0,0.0,0.0,1.0,0,1
TwoBros,DEN,MIA,KC,NE,GB,SEA,1,0.0,0.0,0.0,1.0,0.0,1.0,0,1
Unhallowed318,DEN,PHI,TB,SEA,BAL,WAS,1,0.0,1.0,0.0,0.0,1.0,2.0,0,1
Wilkman,ARI,PIT,SEA,ATL,GB,JAX,1,0.0,0.0,0.0,1.0,1.0,2.0,0,1
Yeager,DEN,IND,NO,CAR,WAS,HOU,1,2.0,0.0,0.0,1.0,0.0,3.0,0,1
zach voigt,ARI,BAL,TB,SEA,LV,PHI,1,0.0,1.0,0.0,1.0,0.0,2.0,0,1
durtybirdz,CIN,BAL,IND,ATL,SF,CHI,1,0.0,1.0,0.0,1.0,0.0,2.0,0,1
VD,JAX,WAS,MIA,SEA,PIT,TB,1,2.0,0.0,0.0,0.0,1.0,3.0,0,1
Sullyinchicago,ARI,PHI,WAS,JAX,MIN,TEN,1,0.0,1.0,1.0,1.0,1.0,4.0,0,1
BQWhale,ARI,JAX,ATL,NYG,PIT,GB,1,2.0,0.0,0.0,0.0,1.0,3.0,0,1
wix87,ARI,BAL,CLE,ATL,SEA,GB,1,0.0,1.0,0.0,0.0,1.0,2.0,0,1
rburt23,ARI,MIN,TB,CIN,JAX,MIA,1,2.0,1.0,0.0,1.0,0.0,4.0,0,1
OddJob,PIT,LV,HOU,CLE,BAL,CHI,1,2.0,0.0,1.0,0.0,0.0,3.0,0,1
BenJ,ARI,NYG,TEN,PIT,CAR,LV,1,0.0,1.0,0.0,0.0,1.0,2.0,0,1
NotaMushMike,DEN,NO,JAX,BAL,LV,CLE,1,0.0,1.0,0.0,1.0,1.0,3.0,0,1
TheWizardofRaz,JAX,ARI,PIT,TB,LAR,IND,1,2.0,0.0,1.0,0.0,1.0,4.0,0,1
YouDeadMySon,ARI,BAL,MIA,PIT,TEN,SEA,1,0.0,0.0,0.0,1.0,0.0,1.0,0,1
